No,Brix_of_kind,sunshine,brix_of_sunshine,sickness,brix_of_sickness,brix,weight,acidity,ratio,taste
1,9.43,0,0,3,0.75,8.68,12.8,0.68,12.76,6
2,10.04,0,0,3,0.75,9.29,13.5,0.67,13.87,7
3,9.91,0,0,3,0.75,9.16,13.6,0.69,13.28,6
4,9.74,0,0,3,0.75,8.99,13.1,0.69,13.03,8
5,9.79,0,0,3,0.75,9.04,13.3,0.68,13.29,8
6,9.67,0,0,3,0.75,8.92,13.7,0.68,13.12,7
7,9.65,0,0,3,0.75,8.9,12.3,0.69,12.9,7
8,10.1,0,0,3,0.75,9.35,12.8,0.68,13.75,7
9,9.11,0,0,3,0.75,8.36,13.4,0.68,12.29,8
10,9.67,0,0,3,0.75,8.92,13.2,0.67,13.31,8
11,9.23,0,0,3,0.75,8.48,13.8,0.69,12.29,7
12,9.14,0,0,3,0.75,8.39,13,0.68,12.34,8
13,10.14,0,0,3,0.75,9.39,13,0.68,13.81,7
14,9.62,0,0,3,0.75,8.87,13.1,0.69,12.86,6
15,10.25,0,0,3,0.75,9.5,13.2,0.67,14.18,8
16,10.42,1,0.5,3,0.75,10.17,12.3,0.68,14.96,8
17,10.19,1,0.5,3,0.75,9.94,13.7,0.7,14.2,6
18,9.57,1,0.5,3,0.75,9.32,12.9,0.69,13.51,6
19,10.4,1,0.5,3,0.75,10.15,13.4,0.69,14.71,8
20,9.27,1,0.5,3,0.75,9.02,12.9,0.68,13.26,8
21,10.37,1,0.5,3,0.75,10.12,13.8,0.69,14.67,9
22,9.99,1,0.5,3,0.75,9.74,13.6,0.68,14.32,9
23,10.01,1,0.5,3,0.75,9.76,14.5,0.69,14.14,9
24,9.87,1,0.5,3,0.75,9.62,13.8,0.67,14.36,8
25,9.34,1,0.5,3,0.75,9.09,14.2,0.66,13.77,10
26,10.28,1,0.5,5,1.25,9.53,13.5,0.7,13.61,9
27,9.75,1,0.5,5,1.25,9,13.8,0.68,13.24,9
28,9.87,1,0.5,5,1.25,9.12,13.3,0.68,13.41,9
29,9.32,1,0.5,5,1.25,8.57,14,0.68,12.6,7
30,9.73,1,0.5,5,1.25,8.98,14.2,0.67,13.4,9
31,10.13,1,0.5,5,1.25,9.38,14,0.69,13.59,9
32,9.7,1,0.5,5,1.25,8.95,13.2,0.67,13.36,10
33,9.75,1,0.5,5,1.25,9,14.4,0.67,13.43,9
34,9.51,1,0.5,5,1.25,8.76,13.6,0.68,12.88,10
35,9.47,1,0.5,5,1.25,8.72,13.6,0.67,13.01,9
36,9.36,1,0.5,5,1.25,8.61,13.7,0.68,12.66,9
37,9.79,1,0.5,5,1.25,9.04,13.7,0.68,13.29,9
38,9.91,1,0.5,5,1.25,9.16,13.7,0.69,13.28,8
39,9.57,1,0.5,5,1.25,8.82,14,0.69,12.78,9
40,10.26,1,0.5,5,1.25,9.51,14.8,0.67,14.19,9
41,9.49,1,0.5,5,1.25,8.74,14.5,0.66,13.24,8
42,9.26,1,0.5,5,1.25,8.51,15.2,0.66,12.89,9
43,10.34,1,0.5,5,1.25,9.59,14.6,0.67,14.31,10
44,10.19,1,0.5,5,1.25,9.44,15.3,0.69,13.68,10
45,9,1,0.5,5,1.25,8.25,15.5,0.67,12.31,8
46,9.51,1,0.5,5,1.25,8.76,16.4,0.68,12.88,10
47,9.38,2,1,5,1.25,9.13,14,0.67,13.63,9
48,9.62,2,1,5,1.25,9.37,15.2,0.67,13.99,10
49,10.52,2,1,5,1.25,10.27,15.5,0.7,14.67,9
50,9.72,2,1,5,1.25,9.47,15.1,0.68,13.93,10
51,10.02,2,1,2,0.5,10.52,15.2,0.67,15.7,10
52,10.45,2,1,2,0.5,10.95,15.2,0.67,16.34,10
53,8.79,2,1,2,0.5,9.29,15,0.67,13.87,9
54,9.88,2,1,2,0.5,10.38,15.1,0.69,15.04,10
55,10.05,2,1,2,0.5,10.55,15.2,0.68,15.51,9
56,9.96,2,1,2,0.5,10.46,15.1,0.66,15.85,8
57,9.8,2,1,2,0.5,10.3,14.9,0.69,14.93,10
58,9.37,2,1,2,0.5,9.87,15.1,0.68,14.51,10
59,10.34,2,1,2,0.5,10.84,14.6,0.67,16.18,10
60,10.02,2,1,2,0.5,10.52,14.5,0.67,15.7,10
61,10.01,2,1,2,0.5,10.51,16.8,0.67,15.69,8
62,10.01,2,1,2,0.5,10.51,16.1,0.7,15.01,9
63,9.48,2,1,2,0.5,9.98,16.1,0.66,15.12,8
64,10.5,2,1,2,0.5,11,15.2,0.69,15.94,8
65,9.82,2,1,2,0.5,10.32,15.4,0.67,15.4,8
66,9.9,2,1,2,0.5,10.4,15.4,0.67,15.52,8
67,9.64,2,1,2,0.5,10.14,15.2,0.67,15.13,7
68,10.15,2,1,2,0.5,10.65,16.9,0.68,15.66,9
69,9.32,2,1,2,0.5,9.82,16.4,0.68,14.44,8
70,9.79,2,1,2,0.5,10.29,15.9,0.67,15.36,8
71,9.63,2,1,2,0.5,10.13,15.2,0.67,15.12,8
72,9.96,2,1,2,0.5,10.46,16.8,0.67,15.61,8
73,10.06,2,1,2,0.5,10.56,16.4,0.68,15.53,8
74,10.14,2,1,2,0.5,10.64,16.1,0.67,15.88,8
75,9.67,2,1,2,0.5,10.17,16.6,0.67,15.18,8
76,10.18,2,1,4,1,10.18,16.6,0.69,14.75,8
77,10.04,2,1,4,1,10.04,15,0.68,14.76,9
78,9.98,2,1,4,1,9.98,16.3,0.69,14.46,8
79,10.34,3,1.5,4,1,10.84,16.3,0.67,16.18,7
80,10.17,3,1.5,4,1,10.67,16.4,0.69,15.46,8
81,10.23,3,1.5,4,1,10.73,17.3,0.67,16.01,7
82,10.1,3,1.5,4,1,10.6,17.5,0.69,15.36,8
83,9.6,3,1.5,4,1,10.1,17.1,0.69,14.64,7
84,9.23,3,1.5,4,1,9.73,16.1,0.7,13.9,7
85,9.73,3,1.5,4,1,10.23,16.4,0.69,14.83,8
86,9.68,3,1.5,4,1,10.18,15.9,0.69,14.75,7
87,9.73,3,1.5,4,1,10.23,17.3,0.64,15.98,4
88,10.33,3,1.5,4,1,10.83,17.4,0.67,16.16,7
89,9.82,3,1.5,4,1,10.32,16.8,0.67,15.4,7
90,9.75,3,1.5,4,1,10.25,17,0.68,15.07,6
91,10.3,3,1.5,4,1,10.8,16.8,0.68,15.88,7
92,9.94,3,1.5,4,1,10.44,17.4,0.69,15.13,7
93,9.78,3,1.5,4,1,10.28,17.6,0.67,15.34,6
94,9.49,3,1.5,4,1,9.99,17.1,0.65,15.37,5
95,9.67,3,1.5,4,1,10.17,17.1,0.68,14.96,8
96,10.36,3,1.5,4,1,10.86,16.8,0.68,15.97,8
97,9,4,2,4,1,10,16,0.69,14.49,7
98,9.75,4,2,4,1,10.75,17,0.68,15.81,8
99,9.54,4,2,4,1,10.54,16.2,0.69,15.28,8
100,9.62,4,2,4,1,10.62,16.2,0.68,15.62,6
